ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3
559,After,Pine Cay,Male,53.19,11.78,12.98,7.85,7.21,9.61,8.46,2.78,3.8,13,15,2.018,1.945,1.996,2.932,2.955,2.832
560,After,Pine Cay,Male,53.68,12.18,12.9,8.12,8.06,9.95,8.33,2.44,4.14,12,15,1.809,1.882,1.807,3.181,3.176,3.195
561,After,Pine Cay,Female,41.08,9.06,9.63,5.92,5.4,6.77,6.36,2.01,3.22,11,11,0.957,0.95,0.939,1.37,1.381,1.29
562,After,Pine Cay,Female,41.09,8.72,10.23,6.56,5.98,7.6,6.14,2.42,3.31,12,15,1.037,1.031,1.076,1.64,1.645,1.667
563,After,Pine Cay,Male,47.06,10.61,11.61,7.5,6.69,9.13,7.46,2.86,3.68,12,15,1.394,1.425,1.411,2.276,2.228,2.247
566,After,Pine Cay,Male,52.28,11.13,12.43,7.63,7.24,9.81,8.2,3.04,3.68,12,15,1.585,1.6,1.581,2.783,2.765,2.846
567,After,Pine Cay,Male,51.8,11.39,12.59,7.86,7.43,9.43,7.97,2.77,3.85,12,15,1.852,1.902,1.898,3.136,3.137,3.089
568,After,Pine Cay,Male,54.18,12.99,12.76,8.1,7.59,10.12,8.49,3.32,4.21,12,14,1.805,1.851,1.835,3.244,3.193,3.104
570,After,Pine Cay,Male,58.86,12.91,14.27,8.33,7.44,10.95,9.23,3.51,4.61,13,16,2.284,2.29,2.384,4.123,4.078,4.128
571,After,Pine Cay,Male,51.76,11.11,13.03,8.22,7.8,9.92,8.39,2.86,4.28,11,15,1.887,1.831,1.817,2.761,2.728,2.8
572,After,Pine Cay,Female,43.49,9.41,10.04,6.54,6.84,7.64,6.74,2.58,3.42,11,12,1.121,1.115,1.12,1.254,1.232,1.247
574,After,Pine Cay,Male,56.69,11.74,13.69,8.75,8.49,11.24,9.17,3.23,4.85,12,15,2.049,2.063,2.052,3.67,3.733,3.702
576,After,Pine Cay,Male,59.02,12.42,14.37,9.12,9.19,10.94,9.74,3.34,4.76,12,14,2.443,2.547,2.449,4.329,4.425,4.351
577,After,Pine Cay,Female,45.87,9.19,10.58,6.99,6.26,8.28,6.92,2.74,3.12,12,12,1.391,1.296,1.261,1.946,1.97,1.903
578,After,Pine Cay,Female,42.01,9.44,10.47,6.77,6.34,7.58,6.54,2.93,3.57,11,14,1.083,1.041,1.087,1.697,1.725,1.724
579,After,Pine Cay,Male,48.96,10.25,12.05,7.61,7.32,8.87,7.6,2.65,4,13,15,1.766,1.73,1.707,2.209,2.289,2.331
580,After,Pine Cay,Female,43.61,9.88,10.13,6.48,5.73,7.56,6.76,2.37,3.1,11,13,1.019,1.183,1.178,1.86,1.844,1.766
581,After,Pine Cay,Male,56.21,11.84,13.13,8.54,7.67,10.03,8.96,2.89,3.61,12,14,1.944,1.986,1.75,3.182,3.175,3.138
582,After,Pine Cay,Male,52.95,12,13.32,8.39,7.87,10.89,8.6,2.94,3.57,12,12,1.685,1.723,1.787,2.848,2.719,2.752
583,After,Pine Cay,Male,62.44,14.12,14.98,9.33,9.17,12,10.31,3.36,4.97,13,15,2.952,3.01,2.996,4.798,4.882,4.839
585,After,Pine Cay,Male,54.32,12.74,13.13,8.88,7.53,9.87,8.79,3.08,4.21,12,16,1.97,1.927,1.976,3.321,3.331,3.306
587,After,Pine Cay,Female,42.57,9.15,10.13,6.43,6.2,7.35,6.72,2.2,3.05,10,13,0.875,0.862,0.827,1.798,1.896,1.799
588,After,Pine Cay,Male,47.44,10.32,11.6,7.73,6.66,8.5,7.56,2.35,3.65,,,,,,,,
591,After,Pine Cay,Male,47.97,10.55,11.73,7.24,7.05,8.24,7.48,2.35,3.54,11,13,1.383,1.407,1.41,2.313,2.257,2.265
592,After,Pine Cay,Male,51.6,12.1,12.71,7.89,7.43,9.26,8.46,2.74,3.89,12,15,1.644,1.538,1.506,2.846,2.852,2.837
593,After,Pine Cay,Male,52.96,12.1,12.9,8.2,7.55,9.16,8.4,2.45,4,12,14,1.985,1.996,1.988,3.259,3.225,3.227
594,After,Pine Cay,Female,45.08,8.87,10.42,6.85,6.43,7.79,6.72,2.3,3.58,10,13,1.09,1.075,1.096,1.997,1.925,1.898
596,After,Pine Cay,Male,50.8,10.68,12.35,7.92,7,9.38,7.99,2.89,4.17,14,15,1.608,1.612,1.67,2.579,2.528,2.473
597,After,Pine Cay,Female,43.35,9.13,10.17,6.52,5.93,7.43,6.64,2.15,3.16,10,12,1.191,1.162,1.186,1.857,1.818,1.856
598,After,Water Cay,Male,52.07,12.6,13.67,8.08,7.3,10.63,8.94,2.92,4.23,12,15,2.18,2.202,2.206,2.91,2.903,2.883
599,After,Water Cay,Female,40.17,9.31,9.99,5.98,5.72,7.6,6.71,1.94,3.15,12,14,1.033,1.019,1.012,1.45,1.422,1.439
600,After,Water Cay,Male,54.2,12.33,12.96,7.9,7.57,10.4,8.55,2.98,4.76,11,14,1.926,1.938,1.934,3.345,3.349,3.368
601,After,Water Cay,Female,43.24,8.8,10.31,6.54,6.28,8.09,7.01,2.89,2.86,10,13,1.135,1.154,1.149,1.821,1.824,1.821
602,After,Water Cay,Male,51.92,11.51,13.31,7.97,6.51,9.76,8.72,3.24,4.08,13,15,2.149,2.138,2.192,3.077,3.065,3.038
603,After,Water Cay,Female,49.74,10.38,12.16,7.8,6.62,9.1,7.83,2.85,3.88,13,15,1.75,1.775,1.768,2.611,2.655,2.643
604,After,Water Cay,Female,49.08,10.78,12.04,8.01,7.16,9.65,7.84,2.96,3.96,13,14,1.456,0.414,1.445,2.153,2.199,2.143
606,After,Water Cay,Female,45.66,8.53,10.01,6.43,6.64,7.9,6.99,2.6,2.89,12,14,1.16,1.119,1.175,1.795,1.769,1.785
607,After,Water Cay,Female,43.48,8.95,10.53,5.91,6.59,7.66,6.76,2.47,3.1,11,12,1.269,1.26,1.239,2.017,1.986,2.017
608,After,Water Cay,Male,59.65,14.23,14.84,8.8,8.85,11.5,9.82,3.54,5.41,13,16,3.019,2.971,3.065,4.267,4.15,4.26
609,After,Water Cay,Male,55.9,13.58,14.01,8.91,8.3,11.4,9.48,2.88,4.18,14,16,2.484,2.502,2.476,3.586,3.667,3.681
611,After,Water Cay,Female,42.73,9.09,9.94,6.29,5.89,7.17,6.68,2.63,3.33,11,12,0.867,0.889,0.884,1.474,1.493,1.488
612,After,Water Cay,Male,49.1,10.6,12.2,7.75,7.52,8.4,7.89,2.69,4.08,13,14,1.798,1.754,1.734,2.127,2.139,2.212
613,After,Water Cay,Male,47.83,10.81,11.92,7.54,7.27,9.34,7.87,2.97,4.28,11,15,1.516,1.503,1.497,2.574,2.584,2.604
614,After,Water Cay,Male,48.95,10.64,11.89,7.33,7.05,9.13,7.72,2.78,3.88,12,15,1.746,1.737,1.659,2.213,2.217,2.168
615,After,Water Cay,Male,53.77,11.38,13.13,7.96,6.77,9.63,8.57,2.96,3.84,11,15,1.62,1.535,1.59,2.958,3.027,2.97
617,After,Water Cay,Female,46.09,10.29,11.61,7.36,7.14,8.95,7.45,2.87,4.27,14,16,1.55,1.518,1.555,2.305,2.298,2.279
618,After,Water Cay,Male,53.2,12.79,14.14,8.68,8.15,11.3,8.9,3.45,4.6,13,16,2.07,2.048,2.024,3.166,3.17,3.162
619,After,Water Cay,Male,56.73,12.66,13.89,8.5,7.88,11.11,8.88,3.36,3.89,13,15,2.293,2.256,2.239,3.338,3.379,3.354
620,After,Water Cay,Male,47.91,10.31,12.2,7.86,7.15,9.02,7.85,2.92,3.95,14,15,1.972,1.915,1.997,2.699,2.668,2.646
621,After,Water Cay,Male,52.83,11.59,13.23,8.38,7.51,10.35,8.52,3.43,3.76,12,15,1.985,1.994,2.015,2.96,3.01,3.019
622,After,Water Cay,Male,56.46,12.03,13.21,8.7,8.27,10.09,9.07,3.73,4.59,13,16,2.283,2.134,2.173,3.52,3.57,3.567
623,After,Water Cay,Female,42.45,8.13,9.75,6.37,6.07,7.47,6.41,2.94,3.15,11,14,1.031,0.964,0.962,1.462,1.432,1.462
